platform,account_name,profile_link,segment,fit_score,reason_for_fit,website,context_observed,comment_drafted,comment_sent,comment_date,dm_drafted,dm_sent,dm_date,reply_status,followup_due,google_reviews_note,yelp_reviews_note,notes
IG,houseofhuenails,https://www.instagram.com/houseofhuenails/,nail salon,5,"Website is broken (mostly blank/images not rendering), bio says 'visit our website for appointment or call/text' — actively sending people to a non-functioning page. Very active IG with bold distinctive nail art style.",https://www.houseofhuenails.com,"321 posts, 1200 followers, Vacaville CA, creative character nail art (Grinch/holiday themes), bio directs to website + phone. Website visited — loads only a partial image, rest is blank. No booking CTA visible.","okay the flames plus the smiley face on a coffin set is genuinely so good this is 100% a save for later set. do people book from your grid a lot?",yes,2026-02-24,,,,,awaiting reply,,,First comment — posted on Feb 14 coffin nails post (DUxN6xVFcJP). Was first comment on the post.
IG,jjsthreadingsalon,https://www.instagram.com/jjsthreadingsalon/,beauty salon / spa,4,"Has a website but bio says 'Call for all appointments' — classic disconnect. Website exists but has no booking button above the fold, animated floating hearts cover the page, hero text barely readable. Before/after content is already in their feed.",https://www.jjsthreadingsalon.com,"260 posts, 1525 followers, Pleasanton CA, services: threading/waxing/haircuts/facials/brows/henna. Before/after layercut and brow content visible. Bio: 'Call (925) 209-5793 for all appointments'","this before and after is so satisfying! the layers changed the whole look. do people usually come in knowing they want this or do you figure it out together?",yes,2026-02-24,,,,,awaiting reply,,,Comment on before/after layer cut post (DN6jtOWEpkQ). First comment on the post. Also liked the post.
IG,thenailhall,https://www.instagram.com/thenailhall/,nail salon,4,"Real website (thenailhall.com) with full service menu but booking CTA (Booker) buried inline — no prominent button above fold. Community-driven IG, 7yr old business, women-owned, non-toxic. Email sent ~10hrs ago and opened ~2hrs ago.",https://www.thenailhall.com,"725 posts, 1670 followers, SF Mission St, non-toxic nail salon + event space, Tues-Sun. 7-year anniversary post (Feb 1) has 92 likes 11 comments — emotional post about surviving pandemic. Good engagement signal.","7 years in SF is seriously impressive. coming out the other side and still talking about your team like this says a lot! congrats on 7!! 💖",,,,,,wait until 2026-02-25 (email opened ~2hrs ago — avoid spammy double-touch),,,Comment on 7yr anniversary post /p/DUPpHrHjlBg/ — DO NOT post until 2026-02-25. Email already sent and opened.
IG,napavalleyspa,https://www.instagram.com/napavalleyspa/,day spa,3,"Established boutique spa (est 2010), 10.2K followers, has a real website. Website is functional (shows available slots) but design is dense and unclear in places. By-appointment-only info buried in footer.",https://www.nvmassageandwellness.com,"55 posts, 10200 followers, Napa CA, owned by April Rose RN. Content: beautiful spa photography, Reels, gift cards, services. Website visited — shows open slots, has gift card CTA, but cluttered layout.",,,,,,,pending,,,Lower urgency — site works but has room for clarity improvements. Large following = worth building familiarity first.
IG,ryunailbar,https://www.instagram.com/ryunailbar/,nail salon,2,"Has website (ryunailbar.com) and bio says 'Call or DM to book' despite website having a Book button. BUT currently closing for 2 weeks for a rebrand/glow-up. Poor timing.",https://www.ryunailbar.com,"65 posts, 860 followers, Dublin CA. Bio: 'Call or DM to book.' Website visited — has 'Book an Appointment' CTA but also shows closing notice (2/23 for 2 weeks for RYU glow up). Services section not rendering.",,,,,,,skip for now,,,Re-evaluate after reopening — IG/website disconnect is real but timing is off while they're rebuilding
IG,luxsfnailcare,https://www.instagram.com/luxsfnailcare/,nail salon,2,"Bio says 'call or text to book' — no dedicated website, just a Yelp link. Very active account (2306 posts) but no website to fix.",https://m.yelp.biz/creative-nail-care-san-francisco,"2306 posts, 861 followers, SF Hayes St, phone booking only. Yelp link as website. Reviews visible in feed from Yelp.",,,,,,,skip,,,No dedicated website — Yelp only. Not a fit for fix-your-page until they build a site.
IG,ursthreading,https://www.instagram.com/ursthreading/,beauty salon,2,"Active account (439 posts) but website is Yelp link only. Phone number plastered on every post. No dedicated website.",https://yelp.com/biz/ursthreading-concord,"439 posts, 1289 followers, Concord CA. Service: threading/waxing/tinting. Before/after brow content. Phone: 925 391 4760 in all posts.",,,,,,,skip,,,No dedicated website — Yelp only. Same issue as luxsfnailcare.
IG,nailsbykevin716,https://www.instagram.com/nailsbykevin716/,individual nail artist,1,"Individual artist not a business. No website visible. Bio says 'text for appointment.' Not target profile.",,"2735 posts, 3949 followers, Buffalo NY. All nail art photos watermarked with phone + address. No website.",,,,,,,skip,,,Individual creator/artist account — not a fit
IG,dudleydu,https://www.instagram.com/dudleydu/,personal account,0,Personal lifestyle account — not a salon or beauty business.,,Personal account. Canadian living in America. Not relevant.,,,,,,,skip,,,Not relevant
IG,themusest,https://www.instagram.com/themusest/,unknown,0,Page unavailable — account may have been deleted or handle changed.,,Page returns 404/unavailable.,,,,,,,skip,,,Account unavailable
IG,jdacademyofsalon,https://www.instagram.com/jdacademyofsalon/,unknown,0,"Link had a typo (extra period). Account not found even without the period.",,,,,,,,,skip,,,Account not found — possible typo in original URL provided
X,WhitoUK,https://x.com/WhitoUK,small biz marketing educator,n/a,"UK-based small biz marketing content, active daily, 395 followers. Jan 26 post about salon/barbershop booking friction — good reply hook.",,Reply target on Jan 26 salon post (https://x.com/WhitoUK/status/2015811621247963303),"the booking point is the one that gets missed most. you can have great photos and 200 five star reviews and still lose someone because they landed on the site on mobile and couldn't find the button. so close and then gone",yes,2026-02-25,,,,,sent — reply posted by user manually (browser was offline at cron time 2:30 AM PST),,,Replied as @stacydonna0x. Cron fired on schedule but browser unavailable — user posted manually.
X,charlesifergan,https://x.com/charlesifergan,salon owner (Chicago),n/a,"Real Chicago salon owner. Posted Feb 23 fresh cut photo. Good first-touch opportunity — comment on the work not the business.",,Reply target on Feb 23 fresh cut post (https://x.com/charlesifergan/status/2025941389226193203),"the waves on this is so good. the layers really make it. is this the kind of detail clients notice right away in person too?",,,,,,,,pending — cron fires 8:37 AM PST Feb 25 (Cron ID: 5e39f771-92b5-4240-a5ab-cdac739f0b5b),,,Reply as @stacydonna0x. Revised from original business-forward draft to keep first contact light.
